Manchester City,Man City,26,"26,4",21,"1,09 Bill. €","41,98 Mill. €",First Tier -  England
Liverpool FC,Liverpool,25,"26,5",16,"913,00 Mill. €","36,52 Mill. €",First Tier -  England
Chelsea FC,Chelsea,28,"27,9",22,"892,25 Mill. €","31,87 Mill. €",First Tier -  England
Tottenham Hotspur,Spurs,26,"27,0",19,"837,50 Mill. €","32,21 Mill. €",First Tier -  England
Manchester United,Man Utd,26,"27,4",19,"835,00 Mill. €","32,12 Mill. €",First Tier -  England
Arsenal FC,Arsenal,25,"27,2",21,"574,00 Mill. €","22,96 Mill. €",First Tier -  England
Everton FC,Everton,28,"26,2",15,"426,00 Mill. €","15,21 Mill. €",First Tier -  England
Leicester City,Leicester,28,"27,6",19,"344,50 Mill. €","12,30 Mill. €",First Tier -  England
West Ham United,West Ham,26,"28,1",18,"287,50 Mill. €","11,06 Mill. €",First Tier -  England
Southampton FC,Southampton,25,"26,5",13,"266,10 Mill. €","10,64 Mill. €",First Tier -  England
Fulham FC,Fulham,25,"26,1",20,"250,50 Mill. €","10,02 Mill. €",First Tier -  England
Crystal Palace,Crystal Palace,26,"28,0",17,"219,25 Mill. €","8,43 Mill. €",First Tier -  England
Wolverhampton Wanderers,Wolves,23,"25,6",15,"218,00 Mill. €","9,48 Mill. €",First Tier -  England
AFC Bournemouth,Bournemouth,24,"27,5",9,"192,25 Mill. €","8,01 Mill. €",First Tier -  England
Burnley FC,Burnley,24,"29,3",11,"181,75 Mill. €","7,57 Mill. €",First Tier -  England
Brighton & Hove Albion,Brighton,24,"28,2",18,"177,00 Mill. €","7,38 Mill. €",First Tier -  England
Newcastle United,Newcastle,25,"27,2",19,"174,00 Mill. €","6,96 Mill. €",First Tier -  England
Watford FC,Watford,31,"27,5",24,"167,70 Mill. €","5,41 Mill. €",First Tier -  England
Huddersfield Town,Huddersfield,26,"26,0",21,"120,60 Mill. €","4,64 Mill. €",First Tier -  England
Cardiff City,Cardiff,27,"28,4",26,"94,10 Mill. €","3,49 Mill. €",First Tier -  England
Bayern Munich,Bayern Munich,24,"27,1",12,"807,93 Mill. €","33,66 Mill. €",First Tier -  Germany
